plant_id,latin_name,common_name,suitability_score,hardiness,habit,edibility,moisture,soil,shade,medicinal,reasons
8081,Urtica dioica,"Stinging Nettle, California nettle",1.442,3-10,Perennial,5.0,M,LMH,SN,5.0,Suitable conditions
6260,Pueraria montana lobata,Kudzu Vine,1.408,5-9,Perennial Climber,4.0,M,LMH,N,5.0,Suitable conditions
467,Althaea officinalis,"Marsh Mallow, Common marshmallow",1.408,3-7,Perennial,5.0,DM,LMH,N,5.0,Suitable conditions
3843,Hippophae salicifolia,Willow-Leaved Sea Buckthorn,1.378,3-7,Tree,5.0,DMWe,LMH,N,3.0,Suitable conditions
2423,Crataegus laevigata,"Midland Hawthorn, Smooth hawthorn, English  Hawthorn",1.378,4-8,Shrub,3.0,MWe,LMH,FSN,5.0,Suitable conditions
3726,Helianthus annuus,"Sunflower, Common sunflower",1.375,6-9,Annual,5.0,DM,LMH,SN,2.0,Suitable conditions
3323,Foeniculum vulgare,"Fennel, Sweet fennel",1.375,3-10,Perennial,5.0,DM,LMH,N,3.0,Suitable conditions
6887,Rumex acetosa,"Sorrel, Garden sorrel",1.375,3-7,Perennial,5.0,M,LMH,SN,3.0,Suitable conditions
8043,Typha latifolia,"Reedmace, Broadleaf cattail, Bullrush, Nailrod",1.375,3-10,Perennial,5.0,WeWa,LMH,N,3.0,Suitable conditions
4873,Mentha x piperita vulgaris,Black Peppermint,1.375,3-7,Perennial,4.0,M,LMH,SN,5.0,Suitable conditions
1447,Calendula officinalis,"calendula, Pot Marigold",1.375,2-11,Annual,3.0,M,LMH,SN,5.0,Suitable conditions
5215,Origanum vulgare,"Oregano, Pot Marjoram",1.375,4-10,Perennial,4.0,DM,LMH,SN,3.0,Suitable conditions
3892,Humulus lupulus,"Hop, Common hop, European Hop,",1.375,5-7,Perennial Climber,4.0,DM,LMH,SN,5.0,Suitable conditions
2259,Coriandrum sativum,"Coriander - Dhania - Cilantro, Coriander",1.375,2-11,Annual,4.0,DM,LM,SN,4.0,Suitable conditions
2673,Daucus carota sativus,Carrot,1.355,4-10,Biennial,5.0,M,LMH,N,3.0,Suitable conditions
7847,Thymus vulgaris,"Common Thyme, Garden thyme, Wild Thyme",1.345,5-11,Shrub,4.0,DM,LM,N,3.0,Suitable conditions
7846,Thymus serpyllum,Wild Thyme,1.345,5-9,Shrub,4.0,DM,LM,N,3.0,Suitable conditions
6396,Quercus robur,"Pedunculate Oak, English oak",1.345,4-8,Tree,4.0,MWe,MH,SN,3.0,Suitable conditions
2337,Corylus hybrids & neohybrids,"Hybrid & Neohybrids, Hazel, Filbert",1.345,4-9,Shrub,5.0,M,LMH,SN,2.0,Suitable conditions
1707,Castanea sativa,"Sweet Chestnut, European chestnut",1.345,5-7,Tree,5.0,DM,LMH,N,2.0,Suitable conditions
2328,Corylus avellana,"Common Hazel, Common filbert, European Filbert, Harry Lauder's Walking Stick, Corkscrew Hazel, Hazel",1.345,4-8,Tree,5.0,M,LMH,SN,2.0,Suitable conditions
3270,Fagopyrum esculentum,Buckwheat,1.342,6-12,Annual,4.0,DM,LMH,N,3.0,Suitable conditions
8336,Viola odorata,"Sweet Violet, English Violet, Garden Violet, Sweet Violet,  Florist's Violet",1.342,4-8,Perennial,5.0,M,LMH,SN,3.0,Suitable conditions
1873,Chamaemelum nobile,"Chamomile, Roman chamomile",1.342,4-9,Perennial,2.0,DM,LMH,SN,5.0,Suitable conditions
8488,Zea mays,"Sweet Corn,  	Corn",1.342,2-11,Annual,5.0,M,LMH,N,3.0,Suitable conditions
3325,Foeniculum vulgare dulce,Sweet Fennel,1.342,6-9,Perennial,4.0,DM,LMH,N,3.0,Suitable conditions
112,Achillea millefolium,"Yarrow, Boreal yarrow, California yarrow, Giant yarrow, Coast yarrow, Western yarrow, Pacific yarrow",1.342,4-8,Perennial,3.0,DM,LMH,SN,4.0,Suitable conditions
4849,Melissa officinalis,"Lemon Balm, Common balm, Bee Balm, Sweet Balm,  Lemon Balm",1.342,4-8,Perennial,3.0,DM,LM,SN,5.0,Suitable conditions
4872,Mentha x piperita officinalis,White Peppermint,1.342,3-7,Perennial,3.0,M,LMH,SN,5.0,Suitable conditions
5575,Phragmites australis,"Common Reed,  American common reed, Hybrid common reed,  European common reed, Subtropical common re",1.342,4-10,Perennial,5.0,MWeWa,LMH,SN,2.0,Suitable conditions
5136,Oenothera biennis,"Evening Primrose, Sun Drop, Common evening primrose",1.322,4-8,Biennial,3.0,DM,LM,N,5.0,Suitable conditions
7182,Schisandra chinensis,"Magnolia Vine, Wu Wei Zi",1.322,4-8,Climber,4.0,M,LMH,FS,5.0,Suitable conditions
